brandname,details,sizes,mrp,sellprice,discount,category
Life,regular fit regular length cotton lycra womens jeans - black,"Size:26,28,30,32,34,36",1699.0,849,50% ,Westernwear-Women
Allen Solly,womens solid formal shirt - light blue,"Size:Large,Small,X-Large,XX-Large",1599.0,959,40% ,Westernwear-Women
Allen Solly,solid polyester cotton round neck womens formal wear shirt - black,"Size:Large,Medium,Small,X-Large",1599.0,959,40% ,Westernwear-Women
Zink London,solid regular fit cotton womens joggers - blue,Size:X-Large,1899.0,1139,40% ,Westernwear-Women
Cover Story,solid cotton spandex round neck womens t-shirt - pink,"Size:Large,Medium,X-Large,X-Small",990.0,693,30% ,Westernwear-Women
Stop,solid regular neck cotton stretch womens formal shirt - black,"Size:Large,Medium,Small,X-Large,XX-Large",999.0,499,50% ,Westernwear-Women
Levis,tapered fit regular length cotton womens jeans - indigo,"Size:26,28,30,32,34",0.0,3799,Nan,Westernwear-Women
Fratini,printed viscose collar neck womens a-line dress - white,"Size:Large,Medium,Small,X-Large,XX-Large",1599.0,799,50% ,Westernwear-Women
Faballey,solid crepe square neck womens dress - red,"Size:Large,Medium,Small,X-Large,X-Small",1900.0,1520,20% ,Westernwear-Women
Rare,floral polyester v neck womens a-line dress - red,"Size:Large,Medium,Small,X-Large",2099.0,944,55% ,Westernwear-Women
Zink London,solid cotton collar neck womens straight top - blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1599.0,959,40% ,Westernwear-Women
Fratini,embellished viscose blend round neck womens t-shirt - powder blue,"Size:Large,Medium,Small,X-Large,XX-Large",999.0,499,50% ,Westernwear-Women
Stop,printed regular neck cotton womens formal shirt - sky blue,"Size:Large,Medium,Small,X-Large,XX-Large",899.0,449,50% ,Westernwear-Women
Zink London,floral viscose tie up neck� womens top - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1799.0,1079,40% ,Westernwear-Women
Stop,solid viscose round neck womens regular top - off white,"Size:Large,Medium,Small,X-Large,XX-Large",799.0,399,50% ,Westernwear-Women
Van Heusen,solid polyester v neck womens top - red,"Size:Medium,Small,X-Large,X-Small",1699.0,999,41% ,Westernwear-Women
Zink London,printed viscose blend square neck womens dress - mustard,"Size:Large,Medium,Small,X-Large",3199.0,1919,40% ,Westernwear-Women
Life,printed cotton slub round neck womens regular top - blue,"Size:Large,Medium,Small,X-Large,X-Small",899.0,449,50% ,Westernwear-Women
Rare,printed georgette off shoulder womens blouson top - navy,"Size:Large,Medium,Small,X-Large",999.0,499,50% ,Westernwear-Women
Zink London,floral polyester round neck womens straight top - blue,"Size:Large,Medium,Small,X-Large,X-Small",1399.0,839,40% ,Westernwear-Women
Life,checks cotton blend collar neck womens regular top - black,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649,50% ,Westernwear-Women
Fratini,solid cotton round neck womens t-shirt - teal,"Size:Large,Medium,Small,X-Large,XX-Large",799.0,399,50% ,Westernwear-Women
Latin Quarters,dyed v-neck cotton womens regular dress - maroon,"Size:S,M,L,XL,XX-Large",2499.0,1249,50% ,Westernwear-Women
Life,regular fit regular length cotton lycra womens jeans - ice,"Size:26,28,30,32,34,36",1299.0,649,50% ,Westernwear-Women
Life,solid cotton blend wide neck womens regular top - mid stone,"Size:Large,Medium,X-Large,X-Small",1299.0,649,50% ,Westernwear-Women
Life,printed jersey round neck womens t-shirt - natural,"Size:Large,Medium,Small,X-Large,X-Small",599.0,299,50% ,Westernwear-Women
Rare,solid polyester blend womens regular top - peach,"Size:Large,Medium,Small,X-Large",1499.0,674,55% ,Westernwear-Women
Life,womens cotton lycra solid capri tights - black,"Size:28,30,32",799.0,399,50% ,Westernwear-Women
Zink Z,solid polyester off shoulder womens dress - pink,"Size:Large,Medium,Small,X-Large,X-Small",0.0,2299,Nan,Westernwear-Women
Cover Story,solid cotton round neck womens regular dress - pink,"Size:Large,Medium,Small,X-Large,X-Small",2890.0,1734,40% ,Westernwear-Women
Fratini,regular fit regular length cotton blend womens jeans - mid stone,"Size:26,28,30,32,34,36",1299.0,649,50% ,Westernwear-Women
Fratini,solid v-neck jersey womens t-shirt - red,"Size:Large,Medium,Small,X-Large,XX-Large",599.0,299,50% ,Westernwear-Women
Zink Z,solid cotton hood womens dress - white,"Size:Large,Medium,Small,X-Large,X-Small",0.0,1799,Nan,Westernwear-Women
Life,skinny fit regular length cotton lycra womens jeans - mid stone,"Size:26,28,30,32,34,36",999.0,499,50% ,Westernwear-Women
Rare,floral rayon round neck womens regular top - black,"Size:Large,Medium,Small,X-Large",1499.0,599,60% ,Westernwear-Women
Infuse,floral v neck rayon womens dress - light blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1299.0,649,50% ,Westernwear-Women
Infuse,embroidered cotton round neck womens regular fit t-shirt - purple,"Size:Large,Medium,Small,X-Small",499.0,199,60% ,Westernwear-Women
Kraus,mom fit ankle length cotton womens jeans - black,"Size:28,30,32,34,36",1795.0,1615,10% ,Westernwear-Women
Kraus,wide fit ankle length cotton womens jeans - blue,"Size:28,30,32,34,36",1695.0,1525,10% ,Westernwear-Women
Allen Solly,solid polyester regular fit womens trousers - black,"Size:26,28,30,32,34,36",1999.0,1599,20% ,Westernwear-Women
Zink London,tie and dye polyester square neck womens dress - pink,"Size:X-Large,XX-Large",2499.0,1499,40% ,Westernwear-Women
Latin Quarters,solid polyester womens casual wear jacket - gold,"Size:S,M",2999.0,1499,50% ,Westernwear-Women
Kraus,heavy wash cotton slim fit womens jeans - light blue,"Size:28,30,32,34,36",1895.0,1705,10% ,Westernwear-Women
Van Heusen,solid polyester round neck womens dress - yellow,"Size:Large,Medium,Small,X-Large,X-Small",3499.0,1499,57% ,Westernwear-Women
Zink London,floral polyester round neck womens straight top - pink,"Size:Large,Medium,Small,X-Large",1499.0,899,40% ,Westernwear-Women
And,solid round neck polyester womens straight top - black,"Size:8,10,12,14",2699.0,2159,20% ,Westernwear-Women
And,floral square neck polyester womens flared gown - sage,"Size:8,10,12,14,16",3499.0,2799,20% ,Westernwear-Women
Zink London,solid sweetheart neck viscose blend womens a-line dress - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2499.0,1499,40% ,Westernwear-Women
And,solid polyester v neck womens regular top - wine,"Size:8,10,12,14,16,18",1899.0,1519,20% ,Westernwear-Women
Fratini,printed polyester v-neck womens a-line dress - grey,"Size:Large,Medium,Small,X-Large,XX-Large",0.0,2299,Nan,Westernwear-Women
Life,embroidered viscose blend round neck womens t-shirt - white,"Size:Large,Medium,Small,X-Large,X-Small",899.0,449,50% ,Westernwear-Women
Stop,printed regular neck cotton womens formal shirt - white,"Size:Large,Medium,Small,X-Large,XX-Large",799.0,399,50% ,Westernwear-Women
Fratini,printed collar polyester womens regular top - off white,"Size:Large,Medium,Small,X-Large,XX-Large",1299.0,649,50% ,Westernwear-Women
Life,printed band collar polyester womens woven top - lilac,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499,50% ,Westernwear-Women
Only,solid polyester viscose round neck womens t-shirt - green,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,779,40% ,Westernwear-Women
Zink London,solid cotton square neck womens dress - orange,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2599.0,1559,40% ,Westernwear-Women
Zink London,floral polyester round neck womens dress - off white,"Size:Large,Medium,Small,X-Large",2999.0,1799,40% ,Westernwear-Women
Zink London,printed cotton round neck womens t-shirt - black,"Size:Large,Small",1299.0,399,69% ,Westernwear-Women
Fratini,printed polyester round neck womens a-line dress - off white,"Size:Error Size,Large,Medium,Small,X-Large,XX-Large",1999.0,999,50% ,Westernwear-Women
Rare,floral polyester off shoulder womens regular top - black,"Size:Large,Medium,Small",999.0,499,50% ,Westernwear-Women
Kraus,skinny fit ankle length cotton blend womens jeans - blue,"Size:28,30,32,36,38",1695.0,847,50% ,Westernwear-Women
Pepe,checks viscose blend round neck womens casual shirt - lime green,"Size:Large,Medium,Small,X-Large",1599.0,959,40% ,Westernwear-Women
Kraus,clean look cotton wide fit womens jeans - blue,"Size:28,30,32,34,36",1595.0,1435,10% ,Westernwear-Women
Zink London,solid cotton round neck womens dress - lavender,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",3199.0,1919,40% ,Westernwear-Women
Zink London,womens regular fit solid round neck t-shirt - purple,"Size:Large,Small,X-Large",1199.0,399,67% ,Westernwear-Women
And,floral linen round neck womens straight dress - pink mix,"Size:8,10,12,14,16",3899.0,3119,20% ,Westernwear-Women
Stop,solid viscose regular neck womens top - blush,"Size:Large,Medium,Small,X-Large,XX-Large",999.0,499,50% ,Westernwear-Women
Madame,stripes polyester v neck womens top - blush,"Size:Large,Medium,Small,X-Large,XX-Large",1799.0,1259,30% ,Westernwear-Women
And,solid polyester v neck womens regular dress - peach,"Size:8,10,12,14,16,18",2299.0,1149,50% ,Westernwear-Women
Zink London,solid polyester v neck womens dress - pink,"Size:Large,Medium,X-Large,XX-Large",2999.0,1799,40% ,Westernwear-Women
Faballey,polka dots sweetheart neck georgette womens mini dress - blue,"Size:Large,Medium,Small,X-Large,X-Small",1950.0,1560,20% ,Westernwear-Women
And,solid round neck polyester womens straight top - yellow,"Size:8,10,12,14,16,18",1699.0,1359,20% ,Westernwear-Women
Rare,stripes polyester boat neck womens regular top - maroon,"Size:Large,Medium,Small,X-Large",1299.0,584,55% ,Westernwear-Women
And,solid collar neck linen womens straight dresses - wine,"Size:8,10,12,14,16,18",3299.0,2639,20% ,Westernwear-Women
Van Heusen,printed polyester round neck womens top - yellow,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,999,33% ,Westernwear-Women
Life,solid viscose blend wide neck womens t-shirt - powder blue,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649,50% ,Westernwear-Women
Zink London,textured cotton off shoulder womens dress - baby pink,"Size:Large,Medium,Small,XX-Large",3499.0,2099,40% ,Westernwear-Women
Life,solid viscose wide neck womens a-line dress - orange,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,749,50% ,Westernwear-Women
Altlife,printed polyester blend regular neck womens t-shirt - purple,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",599.0,299,50% ,Westernwear-Women
Fratini,printed viscose wide neck womens regular top - light blue,"Size:Large,Medium,Small,X-Large",1199.0,599,50% ,Westernwear-Women
Life,printed collar neck polyester womens regular top - orange,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499,50% ,Westernwear-Women
Rare,solid crepe v neck womens blouson top - navy,"Size:Large,Medium,Small",1299.0,584,55% ,Westernwear-Women
Zink London,solid polyester blend regular fit womens pants - grey,Size:X-Large,1899.0,1139,40% ,Westernwear-Women
Latin Quarters,printed polyester v-neck womens regular blouse - ivory,"Size:S,M,L,XL,XX-Large",0.0,1599,Nan,Westernwear-Women
Life,regular fit regular length denim womens jeans - ice,"Size:26,28,30,32,34,36,Medium",1699.0,849,50% ,Westernwear-Women
Altlife,solid cotton full length womens joggers - black,"Size:28,30,32,34,36",999.0,499,50% ,Westernwear-Women
Rare,solid polyester round neck womens a-line dress - red,"Size:Large,Medium,Small,X-Large",1499.0,674,55% ,Westernwear-Women
Indya,shraddha kapoor for indya embellished hot wrap crop top - pink,"Size:Large,Medium,Small,X-Large,X-Small",1300.0,1040,20% ,Westernwear-Women
Fratini,printed polyester v-neck womens a-line dress - lilac,"Size:Large,Medium,Small,X-Large,XX-Large",1899.0,949,50% ,Westernwear-Women
Life,printed viscose wide neck womens regular top - off white,"Size:Large,Medium,Small,X-Large,X-Small",1199.0,599,50% ,Westernwear-Women
Zink London,printed polyester v neck womens top - multi,"Size:Large,Medium,Small,X-Large",1499.0,899,40% ,Westernwear-Women
Rare,printed rayon round neck womens flared dress - maroon,Size:Medium,2399.0,1079,55% ,Westernwear-Women
Latin Quarters,dyed round neck polyester womens regular knit top - pink,"Size:S,M,L,XL,X-Small",1599.0,799,50% ,Westernwear-Women
Fratini,solid viscose blend round neck womens t-shirt - lilac,"Size:Large,Medium,Small,X-Large,XX-Large",699.0,349,50% ,Westernwear-Women
Life,skinny fit regular length cotton lycra womens jeans - indigo,"Size:26,28,30,32,34,36",1299.0,649,50% ,Westernwear-Women
Zink London,checks rayon womens shift dress - green,"Size:Large,Medium,X-Large",2199.0,879,60% ,Westernwear-Women
And,floral polyester round neck womens straight top - sage,"Size:8,10,12,14,16,18",2099.0,1679,20% ,Westernwear-Women
Altlife,patch work cotton regular neck womens top and shorts - lilac,"Size:Large,Medium,Small,X-Large,XX-Large",1299.0,649,50% ,Westernwear-Women
Life,viscose blend collar neck womens regular top - off white,"Size:Large,Medium,Small,X-Large,X-Small",899.0,449,50% ,Westernwear-Women
Juniper,printed short sleeves rayon womens full length jumpsuit - mustard,"Size:Large,Medium,Small,X-Large,XX-Large",2999.0,1799,40% ,Westernwear-Women
Kraus,light wash cotton skinny fit womens jeans - dark blue,"Size:28,30,32,34",1895.0,947,50% ,Westernwear-Women
Zink London,printed v neck polyester womens wrap dress - blue,"Size:Large,Medium,Small,X-Large,XX-Large",2999.0,1499,50% ,Westernwear-Women
Van Heusen,solid polyester v neck womens formal shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",0.0,1699,Nan,Westernwear-Women
Van Heusen,solid cotton round neck womens top - black,"Size:Large,Medium,Small,X-Large,X-Small",0.0,799,Nan,Westernwear-Women
Life,skinny fit regular length cotton lycra womens jeans - black,"Size:26,28,30,32,34,36",1299.0,649,50% ,Westernwear-Women
Fratini,solid cotton blend round neck womens t-shirt - sage,"Size:Large,Medium,Small,X-Large,XX-Large",0.0,699,Nan,Westernwear-Women
Stop,regular fit regular length viscose blend womens treggings - black mix,"Size:28,30,32,34,36",999.0,499,50% ,Westernwear-Women
Madame,pencil fit above knee cotton blend womens casual skirt - ice blue,"Size:26,28,30,32,34,36",2199.0,1319,40% ,Westernwear-Women
Faballey,textured georgette square neck womens regular dress - yellow,"Size:Large,Medium,Small,X-Large,X-Small",2100.0,1680,20% ,Westernwear-Women
Stop,solid polyester tailored fit womens trousers - black,"Size:28,30,32,34,36",0.0,1499,Nan,Westernwear-Women
Zink London,womens regular fit solid round neck t-shirt - green,Size:X-Large,1199.0,399,67% ,Westernwear-Women
Life,printed cotton blend hood womens sweatshirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649,50% ,Westernwear-Women
Madame,solid polyester blend v neck womens dress - indigo,"Size:Large,Medium,Small,X-Large,XX-Large",2699.0,1889,30% ,Westernwear-Women
Only,all over print cotton round neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",1999.0,1399,30% ,Westernwear-Women
Infuse,graphic cotton round neck womens regular fit t-shirt - peach,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",499.0,199,60% ,Westernwear-Women
Stop,printed polyester stretch regular fit womens top - wine,"Size:Large,Medium,Small,X-Large,XX-Large",0.0,799,Nan,Westernwear-Women
Kraus,skinny ankle length cotton blend womens jeans - black,"Size:28,30,32,34,36,38",1895.0,1705,10% ,Westernwear-Women
Altlife,printed polyester blend regular neck womens t-shirt - old rose,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",799.0,399,50% ,Westernwear-Women
And,floral polyester v neck womens flared top - black,"Size:8,10,14,16,18",1999.0,1599,20% ,Westernwear-Women
Rare,floral polyester round neck womens a-line dress - black,"Size:Large,Medium,Small,X-Large",1899.0,854,55% ,Westernwear-Women
Madame,printed polyester mandarin womens top - blue,"Size:Large,Medium,Small,X-Large,XX-Large",1699.0,1019,40% ,Westernwear-Women
Rare,regular fit calf length crepe womens casual skirt - navy,"Size:Large,Medium,Small,X-Large",1699.0,764,55% ,Westernwear-Women
Lovegen,skinny fit ankle length cottonwomens jeans - light blue,"Size:30,32,34",1999.0,599,70% ,Westernwear-Women
Only,solid cotton peter pan collar womens casual shirt - blue,"Size:34,36,38,40,42",2499.0,1499,40% ,Westernwear-Women
Zink London,regular fit full length viscose womens casual skirt - off white,"Size:Large,Medium,Small,X-Large,X-Small",1899.0,1139,40% ,Westernwear-Women
Zink London,floral polyester square neck womens dress - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2699.0,1619,40% ,Westernwear-Women
Faballey,textured crepe round neck womens midi dress - blue,"Size:Large,Medium,Small,X-Large,X-Small",2800.0,2240,20% ,Westernwear-Women
Infuse,floral v neck rayon womens dress - mauve,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1299.0,649,50% ,Westernwear-Women
